折线图数据：
data	type
820	line
932	line
901	line
934	line
1290	line
1330	line
1320	line
111	line
222	line
333	line
444	line
5555	line
6666	line
7777	line
589	line
689	line
657	line
345	line
6583	line
345	line
689	line
156	line
444	line
666	line
777	line
6666	line
5555	line
6666	line
820	line
932	line
901	line
934	line
1290	line
1330	line
1320	line
111	line
222	line
333	line
444	line
5555	line
6666	line
7777	line
589	line
689	line
657	line
345	line
6583	line
345	line
689	line
156	line
444	line
666	line
777	line
6666	line
5555	line
6666	line
820	line
932	line
901	line
934	line
1290	line
1330	line
1320	line
111	line
222	line
333	line
444	line
5555	line
6666	line
7777	line
589	line
689	line
657	line
345	line
6583	line
345	line
689	line
156	line
444	line
666	line
777	line
6666	line
5555	line
6666	line
820	line
932	line
901	line
934	line
1290	line
1330	line
1320	line
111	line
222	line
333	line
444	line
5555	line
6666	line
7777	line
589	line
689	line
657	line
345	line
6583	line
345	line
689	line
156	line
444	line
666	line
777	line
6666	line
5555	line
6666	line
820	line
932	line
901	line
934	line
1290	line
1330	line
1320	line
111	line
222	line
333	line
444	line
5555	line
6666	line
7777	line
589	line
689	line
657	line
345	line
6583	line
345	line
689	line
156	line
444	line
666	line
777	line
6666	line
5555	line
6666	line
820	line
932	line
901	line
934	line
1290	line
1330	line
1320	line
111	line
222	line
333	line
444	line
5555	line
6666	line
7777	line
589	line
689	line
657	line
345	line
6583	line
345	line
689	line
156	line
444	line
666	line
777	line
6666	line
5555	line
6666	line
820	line
932	line
901	line
934	line
1290	line
1330	line
1320	line
111	line
222	line
333	line
444	line
5555	line
6666	line
7777	line
589	line
689	line
657	line
345	line
6583	line
345	line
689	line
156	line
444	line
666	line
777	line
6666	line
5555	line
6666	line
820	line
932	line
901	line
934	line
1290	line
1330	line
1320	line
111	line
222	line
333	line
444	line
5555	line
6666	line
7777	line
589	line
689	line
657	line
345	line
6583	line
345	line
689	line
156	line
444	line
666	line
777	line
6666	line
5555	line
6666	line
820	line
932	line
901	line
934	line
1290	line
1330	line
1320	line
111	line
222	line
333	line
444	line
5555	line
6666	line
7777	line
589	line
689	line
657	line
345	line
6583	line
345	line
689	line
156	line
444	line
666	line
777	line
6666	line
5555	line
6666	line
820	line
932	line
901	line
934	line
1290	line
1330	line
1320	line
111	line
222	line
333	line
444	line
5555	line
6666	line
7777	line
589	line
689	line
657	line
345	line
6583	line
345	line
689	line
156	line
444	line
666	line
777	line
6666	line
5555	line
6666	line
820	line
932	line
901	line
934	line
1290	line
1330	line
1320	line
111	line
222	line
333	line
444	line
5555	line
6666	line
7777	line
589	line
689	line
657	line
345	line
6583	line
345	line
689	line
156	line
444	line
666	line
777	line
6666	line
5555	line
6666	line
820	line
932	line
901	line
934	line
1290	line
1330	line
1320	line
111	line
222	line
333	line
444	line
5555	line
6666	line
7777	line
589	line
689	line
657	line
345	line
6583	line
345	line
689	line
156	line
444	line
666	line
777	line
6666	line
5555	line
6666	line
820	line
932	line
901	line
934	line
1290	line
1330	line
1320	line
111	line
222	line
333	line
444	line
5555	line
6666	line
7777	line
589	line
689	line
657	line
345	line
6583	line
345	line
689	line
156	line
444	line
666	line
777	line
6666	line
5555	line
6666	line
820	line
932	line
901	line
934	line
1290	line
1330	line
1320	line
111	line
222	line
333	line
444	line
5555	line
6666	line
7777	line
589	line
689	line
657	line
345	line
6583	line
345	line
689	line
156	line
444	line
666	line
777	line
6666	line
5555	line
6666	line
820	line
932	line
901	line
934	line
1290	line
1330	line
1320	line
111	line
222	line
333	line
444	line
5555	line
6666	line
7777	line
589	line
689	line
657	line
345	line
6583	line
345	line
689	line
156	line
444	line
666	line
777	line
6666	line
5555	line
6666	line
820	line
932	line
901	line
934	line
1290	line
1330	line
1320	line
111	line
222	line
333	line
444	line
5555	line
6666	line
7777	line
589	line
689	line
657	line
345	line
6583	line
345	line
689	line
156	line
444	line
666	line
777	line
6666	line
5555	line
6666	line
820	line
932	line
901	line
934	line
1290	line
1330	line
1320	line
111	line
222	line
333	line
444	line
5555	line
6666	line
7777	line
589	line
689	line
657	line
345	line
6583	line
345	line
689	line
156	line
444	line
666	line
777	line
6666	line
5555	line
6666	line
820	line
932	line
901	line
934	line
1290	line
1330	line
1320	line
111	line
222	line
333	line
444	line
5555	line
6666	line
7777	line
589	line
689	line
657	line
345	line
6583	line
345	line
689	line
156	line
444	line
666	line
777	line
6666	line
5555	line
6666	line
820	line
932	line
901	line
934	line
1290	line
1330	line
1320	line
111	line
222	line
333	line
444	line
5555	line
6666	line
7777	line
589	line
689	line
657	line
345	line
6583	line
345	line
689	line
156	line
444	line
666	line
777	line
6666	line
5555	line
6666	line
820	line
932	line
901	line
934	line
1290	line
1330	line
1320	line
111	line
222	line
333	line
444	line
5555	line
6666	line
7777	line
589	line
689	line
657	line
345	line
6583	line
345	line
689	line
156	line
444	line
666	line
777	line
6666	line
5555	line
6666	line
820	line
932	line
901	line
934	line
1290	line
1330	line
1320	line
111	line
222	line
333	line
444	line
5555	line
6666	line
7777	line
589	line
689	line
657	line
345	line
6583	line
345	line
689	line
156	line
444	line
666	line
777	line
6666	line
5555	line
6666	line
820	line
932	line
901	line
934	line
1290	line
1330	line
1320	line
111	line
222	line
333	line
444	line
5555	line
6666	line
7777	line
589	line
689	line
657	line
345	line
6583	line
345	line
689	line
156	line
444	line
666	line
777	line
6666	line
5555	line
6666	line
820	line
932	line
901	line
934	line
1290	line
1330	line
1320	line
111	line
222	line
333	line
444	line
5555	line
6666	line
7777	line
589	line
689	line
657	line
345	line
6583	line
345	line
689	line
156	line
444	line
666	line
777	line
6666	line
5555	line
6666	line
820	line
932	line
901	line
934	line
1290	line
1330	line
1320	line
111	line
222	line
333	line
444	line
5555	line
6666	line
7777	line
589	line
689	line
657	line
345	line
6583	line
345	line
689	line
156	line
444	line
666	line
777	line
6666	line
5555	line
6666	line
820	line
932	line
901	line
934	line
1290	line
1330	line
1320	line
111	line
222	line
333	line
444	line
5555	line
6666	line
7777	line
589	line
689	line
657	line
345	line
6583	line
345	line
689	line
156	line
444	line
666	line
777	line
6666	line
5555	line
6666	line
820	line
932	line
901	line
934	line
1290	line
1330	line
1320	line
111	line
222	line
333	line
444	line
5555	line
6666	line
7777	line
589	line
689	line
657	line
345	line
6583	line
345	line
689	line
156	line
444	line
666	line
777	line
6666	line
5555	line
6666	line
820	line
932	line
901	line
934	line
1290	line
1330	line
1320	line
111	line
222	line
333	line
444	line
5555	line
6666	line
7777	line
589	line
689	line
657	line
345	line
6583	line
345	line
689	line
156	line
444	line
666	line
777	line
6666	line
5555	line
6666	line
820	line
932	line
901	line
934	line
1290	line
1330	line
1320	line
111	line
222	line
333	line
444	line
5555	line
6666	line
7777	line
589	line
689	line
657	line
345	line
6583	line
345	line
689	line
156	line
444	line
666	line
777	line
6666	line
5555	line
6666	line
820	line
932	line
901	line
934	line
1290	line
1330	line
1320	line
111	line
222	line
333	line
444	line
5555	line
6666	line
7777	line
589	line
689	line
657	line
345	line
6583	line
345	line
689	line
156	line
444	line
666	line
777	line
6666	line
5555	line
6666	line
820	line
932	line
901	line
934	line
1290	line
1330	line
1320	line
111	line
222	line
333	line
444	line
5555	line
6666	line
7777	line
589	line
689	line
657	line
345	line
6583	line
345	line
689	line
156	line
444	line
666	line
777	line
6666	line
5555	line
6666	line
820	line
932	line
901	line
934	line
1290	line
1330	line
1320	line
111	line
222	line
333	line
444	line
5555	line
6666	line
7777	line
589	line
689	line
657	line
345	line
6583	line
345	line
689	line
156	line
444	line
666	line
777	line
6666	line
5555	line
6666	line
820	line
932	line
901	line
934	line
1290	line
1330	line
1320	line
111	line
222	line
333	line
444	line
5555	line
6666	line
7777	line
589	line
689	line
657	line
345	line
6583	line
345	line
689	line
156	line
444	line
666	line
777	line
6666	line
5555	line
6666	line
820	line
932	line
901	line
934	line
1290	line
1330	line
1320	line
111	line
222	line
333	line
444	line
5555	line
6666	line
7777	line
589	line
689	line
657	line
345	line
6583	line
345	line
689	line
156	line
444	line
666	line
777	line
6666	line
5555	line
6666	line
820	line
932	line
901	line
934	line
1290	line
1330	line
1320	line
111	line
222	line
333	line
444	line
5555	line
6666	line
7777	line
589	line
689	line
657	line
345	line
6583	line
345	line
689	line
156	line
444	line
666	line
777	line
6666	line
5555	line
6666	line
820	line
932	line
901	line
934	line
1290	line
1330	line
1320	line
111	line
222	line
333	line
444	line
5555	line
6666	line
7777	line
589	line
689	line
657	line
345	line
6583	line
345	line
689	line
156	line
444	line
666	line
777	line
6666	line
5555	line
6666	line
820	line
932	line
901	line
934	line
1290	line
1330	line
1320	line
111	line
222	line
333	line
444	line
5555	line
6666	line
7777	line
589	line
689	line
657	line
345	line
6583	line
345	line
689	line
156	line
444	line
666	line
777	line
6666	line
5555	line
6666	line
820	line
932	line
901	line
934	line
